Index,German,English
1154,"der inspektor, -en",the inspector
1155,"der italiener, -",the italian man
1156,"der jäger, -",the hunter
1157,"der januar, -e",january
1158,"der japaner, -",the japanese man
1159,der jazz,the jazz (no plural)
1160,"der job, -s",the job
1161,"der jockey, -s",the jockey
1162,"der jogginganzug, -""e",the jogging suit
1163,"der joghurt, -s",the yogurt
1164,"der journalist, -en, -en",the journalist
1165,"der jude, -n, -n",the jewish man
1166,"der jugendclub, -s",the youth club
1167,"der jugendliche, -n",the youth (male)
1168,"der juli, -s",july
1169,"der junge, -n, -n",the boy
1170,"der juni, -s",june
1171,"der juwelier, -e",the jeweler
1172,"der kaffee, -s",the coffee
1173,"der käfig, -e",the cage
1174,"der kaiser, -",the emperor
1175,"der kalender, -",the calendar
1176,"der kamin, -e","the fireplace, the hearth"
1177,"der kamm, -""e",the comb
1178,"der kanadier, -",the canadian person
1179,"der kanal, -""e","the channel, the canal"
1180,"der kanzler, -",the male chancellor
1181,der karfreitag,good friday (no plural)
1182,"der karneval, -s",carnival (usually referring to shrove tuesday or mardi gras)
1183,"der karton, -s","the carton, the box"
1184,"der käse, -",the cheese
1185,"der käsekuchen, -",the cheesecake
1186,"der kassenzettel, -",the sales slip
1187,"der beamer, -",the (lcd) projector
1188,"der kassierer, -",the male cashier
1189,"der kasten, -""","the case, box, chest"
1190,"der käufer, -",the buyer
1191,der kaviar,the caviar (no plural)
1192,"der keller, -","the cellar, the basement"
1193,"der kellner, -",the waiter
1194,"der kerl, -e",the guy
1195,"der kessel, -",the kettle
1196,"der kfz-mechaniker, -",the car mechanic
1197,"der kilometer, -",the kilometre
1198,"der kindergarten, -""",the kindergarten
1199,"der klappstuhl, -""e",the folding chair
1200,"der klapptisch, -e",the folding table
1201,"der klassenkamerad, -en, -en",the classmate (1) (primary & secondary)
1202,der klatsch,the gossip (no plural)
1203,"der klavierlehrer, -",the piano teacher
1204,"der kleiderschrank, -""e",the wardrobe
1205,"der klempner, -",the plumber
1206,"der klub, -s",the (night) club
1207,"der klumpen, -",the lump
1208,"der kern, -e","the core, kernal, pip, nucleus"
1209,"der knast, -""e","the jail, the slammer (colloquial)"
1210,der knoblauch,the garlic (no plural)
1211,"der knödel, -",the dumpling
1212,"der knopf, -""e",the button
1213,"der koch, -""e",the male cook
1214,"der kochkurs, -e",the cooking course
1215,"der koffer, -",the suitcase
1216,"der kofferraum, -""e","the luggage trunk, the boot"
1217,der kognak,the cognac (no plural)
1218,"der kollege, -n, -n",the male colleague
1219,"der komponist, -en, -en",the male composer
1220,"der konflikt, -e",the conflict
1221,"der könig, -e",the king
1222,"der kontakt, -e",the contact
1223,"der kontext, -e",the context
1224,"der kontinent, -e",the continent
1225,"der kopf, -""e",the head
1226,"der kopfhörer, -",the headphones
1227,"der kopfsalat, -e","the butter lettuce, the cabbage lettuce"
1228,"der korken, -",the cork
1229,"der korkenzieher, -",the corkscrew
1230,"der körper, -",the body
1231,"der krach, -""e","the racket, din"
1232,"der krampf, -""e",the cramp
1233,"der kredit, -e",the credit
1234,"der kreis, -e",the circle
1235,"der kreisverkehr, -",the roundabout/traffic circle
1236,"der krieg, -e",the war
1237,"der krimi, -s",the detective story
1238,"der kritiker, -",the male critic
1239,"der krug, -""e",the jug
1240,"der kuchen, -",the cake
1241,"der kugelschreiber, -",the ballpoint pen
1242,"der kühlschrank, -""e",the refrigerator
1243,"der kuli, -s",the ball point pen (colloquial)
1244,"der kunde, -n, -n",the male customer
1245,"der künstler, -",the male artist
1246,"der kunststoff, -e","the plastic (1), synthetic material"
1247,"der kurs, -e",1. the course. 2. the exchange rate
1248,"der kuss, -""e",the kiss
1249,"der lachs, -e",the salmon
1250,"der laden, -""",the shop (2)
1251,"der ladenbesitzer, -",the shop owner
1252,der lärm,the noise (2) (no plural)
1253,"der lastwagen, -","the lorry, the truck"
1254,"der lautsprecher, -",the loudspeaker
1255,"der lebenslauf, -""e",the cv
1256,"der lebensstil, -e",the life style
1257,der lebensunterhalt,the living expenses (no plural)
1258,"der lehrer, -",the teacher
1259,"der lehrling, -e",the apprentice (2)(outdated)
1260,"der lehrplan, -""e",the curriculum
1261,"der leiter, -","the leader, the manager"
1262,"der liebling, -e","the darling, favourite"
1263,"der lieferwagen, -",the delivery van
1264,"der likör, -e",the liqueur
1265,"der lippenstift, -e",the lipstick
1266,"der liter, -",the litre
1267,"der lastkraftwagen (lkw), -",the heavy goods vehicle (hgv)
1268,"der lkw, -s","hgv, abbreviation ( heavy goods vehicle"
1269,"der löffel, -",the spoon
1270,"der lohn, -""e",the salary; wages; pay
1271,"der löwe, -n, -n",the lion
1272,"der luftdruck, -""e",the air pressure; bomb blast
1273,"der luftschutzkeller, -",the air-raid shelter
1274,"der lump, -en",the rascal; rags (plural only)
1275,"der luxus, -",the luxury (no plural)
1276,"der mai, -e",may
1277,"der maler, -",the painter
1278,"der mann, -""er","the man, the husband"
1279,"der mantel, -""",the coat
1280,"der märchenkönig, -e",the fairy-tale king
1281,"der markt, -""e",the market
1282,"der marktplatz, -""e",the market place
1283,mars,mars (no plural)
1284,"der märz, -e",march (month)
1285,"der maschinist, -en, -en",the machinist
1286,"der matrose, -n",the sailor
1287,"der maurer, -",the bricklayer
1288,"der mechaniker, -",the mechanic
1289,"der mensch, -en, -en","the human being, the person; man (no article)"
1290,"der meter, -",the metre (uk) meter (us) unit of measure
1291,"der methodist, -en, -en",the methodist (relig.)
1292,"der metzger, -",the butcher
1293,"der mieter, -",the renter
1294,"der mikrowellenherd, -e",the microwave oven
1295,"der minister, -",the minister (political)
1296,"der ministerpräsident, -en, -en",the prime minister
1297,der mist,"the manure, dung, rubbish (slang) (no plural)"
1298,"der mitbewohner, -","the housemate, the roommate"
1299,"der mitbürger, -",the fellow citizen
1300,"der mitstudent, -en, -en",the classmate (2)(tertiary)
1301,"der mittag, -e",the noon
1302,"der mittelklassewagen, -",the mid-sized car
1303,"der mittwoch, -e",wednesday
1304,"der moderator, -en","the moderator, presenter"
1305,"der moment, -e",the moment
1306,"der monat, -e",the month
1307,"der mond, -e",the moon
1308,"der montag, -e",monday
1309,"der mord, -e",the murder
1310,"der morgen, -",the morning (1)
1311,"der moskito, -s",the mosquito
1312,der most,the cider (no plural)
1313,"der motor, -en",the motor
1314,"der motorenkonstrukteur, -e",the engine designer
1315,der mozzarella,the mozzarella (no plural)
1316,der müll,the rubbish (no plural)
1317,"der mülleimer, -","the dustbin, the garbage can"
1318,"der mund, -""er",the mouth
1319,"der musiker, -",the male musician
1320,"der muttertag, -e",the mother's day
1321,"der nachbar, -n, -n",the male neighbour
1322,"der nachmittag, -e",the afternoon
1323,"der nachteil, -e",the disadvantage
1324,"der nachtisch, -e",the dessert
1325,"der nachttisch, -e",the night table
1326,"der name, -n,-n",the name
1327,"der narr, -en, -en",the jester
1328,"die nationalität, -en",the nationality
1329,"der nebel, -",the fog
1330,"der nebensatz, -""e",the dependent clause
1331,"der neffe, -n, -n",the nephew
1332,"der nerv, -en, -en",the nerve
1333,"der nichtsnutz, -e",the good-for-nothing
1334,"der niederschlag, -""e",the precipitation
1335,der norden,the north (no plural)
1336,der nordpol,the north pole (no plural)
1337,"der notruf, -e",the emergency phone call
1338,"der november, -",november
1339,"der ober, -",the (head) waiter
1340,"der ochse, -n",the ox
1341,"der ohrring, -e",the earring
1342,"der oktober, -",october
1343,"der onkel, -",the uncle
1344,"der opa, -s",the grandpa (informal)
1345,"der opernsänger, -",the opera singer
1346,der orangensaft,the orange juice (no plural)
1347,"der ort, -e",the place
1348,"der ortsname, -n, -n",the place name
1349,der osten,the east (no plural)
1350,"der osterhase, -n, -n",the easter bunny
1351,"der ostermontag, -e",easter monday
1352,"der österreicher, -",the austrian
1353,"der ostersonntag, -e",easter sunday
1354,"der ozean, -e",the ocean (1)
1355,"der papierkorb, -""e",the wastepaper basket
1356,"der paragraph, -en, -en",the paragraph (2)
1357,"der park, -s",the park
1358,"der parkplatz, -""e",the parking lot/car park
1359,"der partner, -s",the partner
1360,"der reisepass, -""e",the passport
1361,"der passagier, -e",the passenger (usually aviation)
1362,"der patient, -en, -en",the patient
1363,"der pendler, -",the commuter
1364,"die person, -en",the person
1365,"der personalausweis, -e",the personal identity card
1366,"der personalchef, -s",the personnel manager
1367,"der personenwagen, -",the private car; the passenger train carriage
1368,"der pfad, -e",the path
1369,der pfeffer,the pepper (no plural)
1370,der pfefferminztee,the peppermint tea (no plural)
1371,"der pfennig, -e",the penny
1372,"der pfosten, -","the post (as in wooden post, etc.)"
1373,"der pianist, -en, -en",the male pianist
1374,"der plan, -""e",the plan
1375,"die platte, -n","the slab, the platter, the hard disk, the plate (generic)"
1376,"der platz, -""e","the place, the city square, the seat"
1377,"der politiker, -",the politician
1378,"der polizist, -en, -en",the male police officer
1379,"der präsident, -en, -en",the president
1380,"der preis, -e",the price
1381,"der produzent, -en, -en","the producer (film, tv)"
1382,"der professor, -en",the professor
1383,"der profi, -s",the pro (as in professional)
1384,"der programmierer, -",the programmer
1385,"der projektor, -en",the projector
1386,"der prospekt, -e",the leaflet / brochure / pamphlet
1387,"der psychiater, -",the psychiatrist
1388,"der pudding, -s",the pudding
1389,"der pudel, -",the poodle
1390,"der pulli, -s",the sweater (1) (colloquial)
1391,"der pullover, -",the sweater (2) (long form)
1392,"der punk, -s",the punk
1393,"der punkt, -e","the dot, the period, the point"
1394,"der quadratfuß, -e",the square foot
1395,"der quadratmeter, -",the square metre
1396,der quatsch,the nonsense (2) (no plural)
1397,"der radfahrer, -",the cyclist
1398,"der radwanderführer, -",the cycling trip guidebook
1399,"der rand, -""er","the edge, the rim"
1400,"der rang, -""e",the rank
1401,"der rasen, -",the lawn
1402,"der rasierapparat, -e","the razor, the shaver"
1403,"der rat, -""e",the advice
1404,"der ratschlag, -""e",the piece of advice (seldom with article)
1405,der rauch,the smoke (no plural)
1406,"der rechtsanwalt, -""e",the male lawyer
1407,"der regen, -",the rain (no plural)
1408,"der regenmantel, -""",the raincoat
1409,"der regenschirm, -e",the umbrella
1410,"der reichspräsident, -en, -en",the german president (before wwii)
1411,"der reifen, -",the tyre/tire
1412,der reis,the rice (no plural)
1413,"der reisebegleiter, -","the travelling companion, the chaperone"
1414,"der reisebus, -se",the tour bus
1415,"der reiseführer, -",the travel guidebook or the travel guide
1416,"der reisender, -",the traveller (male)
1417,"der reisescheck, -s",the traveller's cheque
1418,"der reißverschluss, -""e",the zipper
1419,"der reiter, -",the horseback rider
1420,"der rekord, -e",the record
1421,der rhabarber,the rhubarb (no plural)
1422,der rhein,the rhine (no plural)
1423,"der ring, -e",the ring (jewellery)
1424,der rock,the rock (music) (no plural)
1425,"der rock, -""e","the skirt, the dress,  any kind of kilt-like attire"
1426,fünfzig,fifty
1427,"der rockstar, -s",the rock star
1428,"der rollstuhl, -""e",the wheelchair
1429,"der roman, -e",the novel
1430,"der rotkohl, -e",the red cabbage
1431,"der rotwein, -e",the red wine
1432,"der rotzlümmel, -",the snotty-nosed brat
1433,"der rowdy, -s",the hooligan
1434,"der rücken, -",the back
1435,"der rucksack, -""e",the backpack
1436,"der rückspiegel, -",the rear-view mirror
1437,"der rum, -s",the rum
1438,der rundfunk,the broadcast (no plural)
1439,"der rüssel, -",the trunk (of an elephant)
1440,"der saal, die säle",the hall (1) (big room)
1441,"der saft, -""e",the juice
1442,"der salat, -e",the salad
1443,"der samstag, -e",saturday
1444,der sand,the sand (no plural)
1445,"der sänger, -",the male singer
1446,der sankt nikolaus,the saint nicholas (no plural)
1447,"der satz, -""e",the sentence
1448,der sauerbraten,the marinated roast beef (no plural)
1449,"der scanner, -",the scanner
1450,"der schal, -e or -s",the scarf
1451,"der schatten, -","the shade, the shadow"
1452,"der schauer, -",the  (rain) shower
1453,der schaufensterbummel,the window-shopping (no plural)
1454,"der schaukelstuhl, -""e",the rocking chair
1455,"der schauspieler, -",the actor
1456,"der scheck, -s",the check; cheque
1457,"der schein, -e",the banknote
1458,"der scheinwerfer, -","the headlight, the floodlight, the spotlight"
1459,"der schilling, -",the shilling (former austrian currency)
1460,"der schlafanzug, -""e",the pajamas
1461,"der schlafraum, -""e",the dormitory
1462,"der schlafsack, -""e",the sleeping bag
1463,"der schlips, -e",the tie (2)
1464,"der schlot, -e",the chimney (factory)/ ship's funnel
1465,"der schlosser, -",the locksmith; toolmaker
1466,"der schlüssel, -",the key
1467,"das schlüsselbund, -""e",the keyring
1468,"der schlussverkauf, -""e",the end of season sale
1469,"der schmerz, -en",the pain
1470,der schmuck,the jewelry (no plural)
1471,"der schnabel, -""",the beak / bill (bird's)
1472,"der schnaps, -""e","the schnapps, the hard liquor"
1473,der schnee,the snow (no plural)
1474,"der schneesturm, -""e",the snowstorm
1475,"der schneider, -",the tailor
1476,"der schnellimbiss, -e",the fast food stand or outlet
1477,"der schnupfen, -",the (head) cold
1478,"der schnurrbart, -""e",the moustache
1479,"der schock, -s",the shock
1480,"der schopf, -""e","the shock of hair, tuft, crest"
1481,"der schornstein, -e",the chimney
1482,"der schoß, -""e",the lap (of one's legs)
1483,"der schrank, -""e",1. the closet. 2. the cupboard
1484,"der schrebergarten, -""","the garden plot, allotment"
1485,"der schreiber, -",the writer / the pen (coll.)
1486,"der schreibtisch, -e",the desk
1487,"der schuh, -e",the shoe
1488,"der schuhmacher, -","the shoemaker, cobbler"
1489,"der schulabschluss, -""e",the high school diploma/certificate
1490,der schulbeginn,the beginning of school (no plural)
1491,"der schuldschein, -e","the iou, promissory note"
1492,"der schüler, -",the pupil (primary or secondary school)
1493,"der schwager, -""",the brother-in-law
1494,"der schwan, -""e",the swan
1495,der schwarzwald,the black forest (no plural)
1496,der schweinebraten,the pork roast (no plural)
1497,"der schweinestall, -""e",the pigsty
1498,der schweiß,the sweat (no plural)
1499,"der schwiegervater, -""",the father-in-law
1500,"der see, -n",the lake
1501,"der seemann, -""er",the seaman
1502,"der sekretär, -e",the male secretary
1503,"der selbstmord, -e",the suicide
1504,der senf,the mustard (no plural)
1505,"der senior, -en",the male senior citizen
1506,"der september, -",september
1507,der service,the service (no plural)
1508,"der sessel, -",the armchair
1509,"der sicherheitsgurt, -e",the seatbelt
1510,"der sinn, -e","the sense, the meaning"
1511,"der sitz, -e",the seat (1)
1512,"der sitzplatz, -""e",the seat (2)
1513,"der skelettsatz, -""e",the skeleton sentence
1514,"der sketch, -e","the skit, the sketch (dramatic)"
1515,"der ski, -er",the ski
1516,"der skilehrer, -",the ski instructor
1517,"der slip, -s","the underpants, panties, briefs"
1518,"der softwareentwickler, -",the software developer
1519,"der sohn, -""e",the son
1520,"der soldat, -en, -en",the soldier
1521,"der sommer, -",the summer
1522,"der sommerschlussverkauf, -""e",the end of summer sale
1523,"der sonnenbrand, -""e",the sunburn
1524,"der sonntag, -e",sunday
1525,"der sozialarbeiter, -",the male social worker
1526,"der sozialfall, -""e",the welfare case
1527,"der spaß, -""e",the fun
1528,"der spaziergang, -""e",the walk
1529,"der spiegel, -",the mirror
1530,der spielraum,the leeway (no plural)
1531,der spinat,the spinach (no plural)
1532,der sport,"the sports, athletics (no plural)"
1533,"der staat, -en",the state
1534,"der staatschef, -s",the head of state
1535,"der stadtplan, -""e",the map of the city or town
1536,"der stadtteil, -e","the district, the part of the city"
1537,"der stahl, -""e",the steel
1538,"der stall, -""e",the stable
1539,"der stamm, -""e",the tree trunk
1540,"der stammbaum, -""e",the family tree
1541,der starnberger see,the lake starnberg
1542,"der stau, -e","the traffic jam, the congestion"
1543,der staub,the dust (no plural)
1544,"der staubsauger, -",the vacuum cleaner
1545,"der stein, -e",the stone
1546,"der stern, -e",the star
1547,"der steward, -s",the air steward
1548,"der stiefel, -",the boot
1549,"der stiefvater, -""",the stepfather
1550,"der stift, -e",the writing utensil
1551,"der stil, -e",the style
1552,"der stock, -","the storey, the floor"
1553,"der stoff, -e","the material, substance, cloth, fabric"
1554,"der stoffbär, -en, -en",the stuffed toy bear
1555,"der strafzettel, -",the traffic ticket
1556,"der strand, -""e",the beach
1557,"der streit, -e","the quarrel, argument"
1558,"der stress, -e",the stress
1559,"der strom, -""e",the electricity current
1560,"der strumpf, -""e",the stocking
1561,"der student, -en, -en",the student (tertiary)
1562,"der studentenausweis, -e",the student id
1563,"der studentenchor, -""e",the student choir
1564,"der stuhl, -""e",the chair (no arms)
1565,"der stundenplan, ""e","the timetable, schedule"
1566,"der sturm, -""e",the storm
1567,der süden,the south (no plural)
1568,der südpol,the south pole (no plural)
1569,"der superlativ, -e",the superlative (ling.)
1570,"der supermarkt, -""e",the supermarket
1571,der tabak,the tobacco (no plural)
1572,"der tag, -e",the day
1573,"der tagesjob, -s",the job for a day
1574,"der tango, -s",the tango
1575,"der tannenbaum, -""e",the fir tree
1576,"der tanz, -""e",the dance
1577,"der tänzer, -",the dancer
1578,"der taschenrechner, -",the calculator
1579,"der tausendfüßler, -",the millipede
1580,"der teddybär, -en, -en",the teddy bear
1581,der tee,the tea (no plural)
1582,"der teekessel, -",the kettle
1583,"der teelöffel, -",the teaspoon
1584,"der teenager, -",the teenager
1585,der teig,"the batter, pastry, dough (no plural)"
1586,"der teil, -e",the part
1587,"der teller, -",the plate
1588,"der tennisplatz, -""e",the tennis court
1589,"der tennisschläger, -",the tennis racket
1590,"der tennisschuh, -e",the tennis shoe
1591,"der tenor, -""e",the tenor
1592,"der teppich, -e","the carpet, the rug"
1593,"der teppichboden, -""",the carpeted floor
1594,"der termin, -e","the appointment, the date"
1595,"der terminkalender, -",the appointment calendar
1596,"der teufel, -",the devil
1597,"der text, -e",the text
1598,"der tierarzt, -""e",the vet
1599,"der tisch, -e",the table
1600,"der titel, -",the title
1601,"der toast, -e",the toast (heated bread)
1602,"der toaster, -",the toaster
1603,"der tod, -e",the death
1604,der todesstreifen,the no man's land (no plural)
1605,"der ton, -""e","the sound, the tone, the note"
1606,"der toner, -",the toner
1607,"der topf, -""e","the pan, saucepan, pot"
1608,"der tourist, -en, -en",the tourist
1609,"der trainingsanzug, -""e",the tracksuit
1610,"der traum, -""e",the dream
1611,"der traumberuf, -e",the dream job
1612,"der treffpunkt, -e",the meeting place
1613,der treibhauseffekt,the greenhouse effect (kp)
1614,"der triumph, -e",the triumph
1615,"der tropfen, -",the drop (of liquid)
1616,"der türke, -n, -n",the male turk
1617,"der turm, -""e",the tower
1618,"der turnschuh, -e","the gym shoe, the sneaker"
1619,"der typ, -en",the guy/bloke; the type (of person)
1620,"der übergang, -""e",the crossing
1621,"der übersetzer, -",the translator
1622,"der umschlag, -""e","the cover, the envelope (generic)"
1623,"der unfall, -""e",the accident
1624,"der universitätsabschluss, -""e",the university degree
1625,"der unterschied, -e",the difference
1626,"der untertitel, -",the subtitle
1627,"der urgroßvater, -""",the great grandfather
1628,"der urlaub, -e",the vacation (for working people)
1629,"der vater, -""",the father
1630,"der vatertag, -e",the father's day
1631,"der vati, -s",the dad / papa
1632,"der vegetarier, -",the vegetarian
1633,"der verdienst, -e","1. income, earnings; 2. recognition, award"
1634,"der vergleich, -e",the comparison
1635,"der verkäufer, -",the salesman
1636,der verkehr,the traffic (no plural)
1637,"der verwandter, -",the male relative
1638,"der cousin, -s",the male cousin
1639,"der videorecorder, -",the video recorder
1640,"der violinist, -en, -en",the violinist (2)
1641,"der virus, die viren",the virus
1642,"der vogel, -""",the bird
1643,"der volleyball, -""e",the volleyball
1644,"der vorfahr, -en, -en",the ancestor/forefather
1645,"der vorhang, -""e",the curtain
1646,"der vormittag, -e",the morning (2)
1647,"der vorname, -n, -n","the given name, forename"
1648,"der vorort, -e",the suburb
1649,"der vorsatz, -""e",the intention (2)
1650,"der vorschlag, -""e",the suggestion; advice
1651,"der vorteil, -e",the advantage
1652,"der vulkan, -e",the volcano
1653,"der wagen, -",the car; vehicle (passenger)
1654,"der wald, -""er",the forest
1655,"der walkman, die walkmen",the walkman
1656,"der walzer, -",the waltz
1657,"die wand, -""e",the wall (interior)
1658,"der warteraum, -""e",the waiting room
1659,"der waschlappen, -","the facecloth, the washcloth"
1660,"der waschsalon, -s","the launderette, laundromat"
1661,"der wasserhahn, -""e","the tap, the faucet"
1662,"der wasserkocher, -",the electric kettle
1663,"der wecker, -",the alarm clock
1664,"der weg, -e","the way (path, route, etc)"
1665,"der weihnachtsbaum, -""e",the christmas tree
1666,"der weihnachtsfeiertag, -e",the christmas day
1667,"der wein, -e",the wine
1668,"der weinberg, -e",the vineyard
1669,"der weinkenner, -",the wine connoisseur
1670,"der weißwein, -e",the white wine
1671,"der sittich, -e",the parakeet
1672,"der weltkrieg, -e",the world war
1673,der westen,the west (no plural)
1674,"der wettbewerb, -e",the contest
1675,"der wetterbericht, -e",the weather forecast
1676,"der wettlauf, -""e",the running race
1677,"der winter, -","the winter,"
1678,"der wintergarten, -""",the conservatory
1679,"der wintermantel, -""",the winter coat
1680,"der winterschlussverkauf, -""e (wsv)",the winter sale
1681,"der witwer, -",the widower
1682,"der witz, -e",the joke
1683,"der wochenmarkt, -""e",the open air market
1684,"der wochentag, -e",the weekday
1685,der wohlstand,the affluence (no plural)
1686,"der wohnblock, -""e",the block of flats
1687,"der wohnort, -e",the place of residence
1688,"der wohnwagen, -",the caravan
1689,"der wortschatz, -""e",the vocabulary
1690,"der wühltisch, -e",the bargain table
1691,"der wunsch, -""e",the wish
1692,"der wurm, -""er",the worm
1693,"der zahn, -""e",the tooth
1694,"der zahnarzt, -""e",the dentist
1695,"der zaun, -""e",the fence
1696,"der zeichentrickfilm, -e",the cartoon film
1697,"der zettel, -","the piece/slip of paper, note"
1698,"der zeuge, -n, -n",the male witness
1699,der zimt,the cinnamon (no plural)
1700,"der zoll, -""e",the customs duty
1701,"der zopf, -""e",the braid
1702,der zucker,the sugar (no plural)
1703,"der zufall, -""e",the coincidence
1704,"der zug, -""e",the train
1705,"der zugführer, -",the train conductor
1706,"der zugvogel, -""",the migratory bird
1707,"der zuschauer, -","the viewer, spectator"
1708,"der zweisitzer, -",the two-seater
1709,"der zweitwagen, -",the second car
1710,"der zwilling, -e",the twin
1711,"derselbe, dieselbe, dasselbe","the same (masc, fem, neut)"
1712,deshalb,"therefore, that's why"
1713,deutlich,"distinctly, clearly"
1714,deutsch,german (adj.)
1715,deutsch,german (language) [nt.]
1716,deutschsprachig,german-speaking
1717,dick,"thick, fat"
1718,dickköpfig,stubborn
1719,"die abfahrt, -en",the departure (bus)
1720,"die abkürzung, -en (abk.)",the abbreviation (abbr.)
1721,"die absicht, -en",the intention (1)
1722,"die abteilung, -en",the department
1723,"die abwanderung, -en",the migration
1724,die achtung,the attention (no plural)
1725,"die adresse, -n",the address
1726,"die ähnlichkeit, -en",the similarity
1727,"die ahnung, -en","the idea, hunch (fam.)"
1728,"die aktentasche, -n",the briefcase
1729,die akzeptanz,the acceptance (no plural)
1730,"die alarmanlage, -n",the alarm system
1731,"die allee, -n","the alley, the avenue"
1732,die alliierten,the allies (wwii) (plural only)
1733,"die alltagsszene, -n",the everyday scene
1734,die alpen,the alps (plural only)
1735,die alte pinakothek,(an art gallery in munich) (no plural)
1736,"die altersgruppe, -n",the age group
1737,die altstadt,the old city centre (no plural)
1738,"die ampel, -n",the traffic light
1739,"die angst, -""e",the fear
1740,"die ankunft, -""e",the arrival
1741,"die anmeldung, -en","the enrolment, registration, reception (med.)"
1742,"die anrichte, -n",the sideboard
1743,"die ansichtskarte, -n",the picture postcard
1744,die antike,the antiquity (era) (no plural)
1745,"die antwort, -en",the answer
1746,"die anzeige, -n","1. newspaper announcement, notification; 2. report or charge (made to authorities)"
1747,"die apotheke, -n","the pharmacy, the chemist's"
1748,"die arbeit, -en",the work
1749,die arbeiterklasse,the working class (no plural)
1750,"die arbeitserfahrung, -en",the work experience (1)
1751,die arbeitslosigkeit,the unemployment (kp)
1752,die architektur,the architecture (no plural)
1753,"die armbanduhr, -en",the wrist watch
1754,"die armee, -n",the army
1755,"die art, -en","the kind, the type (of article; person etc.)"
1756,"die attraktion, -en",the attraction (entertainment)
1757,die aufenthaltsdauer,the length of stay (no plural)
1758,"die aufführung, -en",1. the performance (sp. theatrical); 2. the listing
1759,"die aufgabe, -n","the assignment, the task"
1760,"die aufheiterung, -en",the cheering up
1761,"die aula, -s","the school auditorium, the assembly hall"
1762,"die ausbildung, -en","the job training, the education; the apprenticeship"
1763,"die ausfahrt, -en",the exit (vehicular)
1764,"die auskunft, -""e",the information (1)
1765,"die ausnahme, -n",the exception
1766,"die ausrede, -n",the excuse
1767,"die aussage, -n",the statement
1768,"die aussicht, -en",the view or the prospect
1769,"die aussprache, -n",the pronunciation; the discussion
1770,"die ausstellung, -en",the exhibition
1771,"die auswahl, -en","the choice, the selection"
1772,"die autobahn, -en",the motorway
1773,"die autofähre, -n",the car ferry
1774,"die autorität, -en",the authority
1775,die bauchschmerzen,the stomachache (plural only)
1776,"die bäckerei, -en",the bakery
1777,"die bademöglichkeit, -en",the swimming facility
1778,"die badewanne, -n",the bathtub
1779,"die bahn, -en",the railway; the train
1780,"die bahnfahrt, -en",the train trip
1781,"die banane, -n",the banana
1782,"die band, -s",the (musical) band
1783,"die bank, -en",the bank (financial)
1784,"die banknote, -n",the banknote (2)
1785,"die baumwolle, -n",the cotton
1786,"die baustelle, -n",the building site
1787,"die bedeutung, -en",the meaning
1788,"die bedienung, -en","the service in a restaurant, etc."
1789,"die behandlung, -en",the treatment
1790,"die belohnung, -en",the reward;
1791,die bergwelt,the alpine/high mountain area (no plural)
1792,die bermudashorts,the bermuda shorts (no plural)
1793,"die berufsberatung, -en",the career advice
1794,"die berufsschule, -n",the vocational school
1795,"die besatzungszone, -n",the occupation zone
1796,die bescherung,the gift-giving (christmas) (no plural)
1797,"die beschränkung, -en","the restriction, limitation"
1798,"die beschreibung, -en",the description
1799,"die besserung, -en",the improvement
1800,"die betriebswirtschaft, -en",the business management
1801,die betreuung,the care (no plural)
1802,die bettwäsche,the bedlinen (no plural)
1803,"die bevölkerung, -en",the population
1804,"die bezahlung, -en",the payment; the settlement (of a bill)
1805,"die beziehung, -en",the relationship
1806,"die bibel, -n",the bible
1807,"die bibliothek, -en",the library
1808,"die biene, -n",the bee
1809,"die bildung, -en",the education
1810,die biochemie,the biochemistry (no plural)
1811,die biologie,the biology (no plural)
1812,"die blaskapelle, -n",the brass band
1813,"die blockade, -n",the blockade
1814,"die blockflöte, -n",the recorder (musical instrument)
1815,"die blume, -n",the flower
1816,"die blumenhändlerin, -nen",the female florist
1817,"die bluse, -n",the blouse
1818,"die bockwurst, -""e",the smoked sausage
1819,"die bohne, -n",the bean
1820,die botanik,the botany (no plural)
1821,"die braut, -""e",the bride
1822,"die bremse, -n",the brake
1823,"die brezel, -n",the pretzel
1824,"die briefmarke, -n",the postage stamp
1825,"die brieftasche, -n",the wallet (1)
1826,"die brille, -n",the glasses (eye); spectacles
1827,"die brosche, -n",the brooch
1828,"die broschüre, -n",the brochure
1829,"die brücke, -n",the bridge
1830,"die brust, -""e","the breast, the chest"
1831,"die buche, -n",the beech tree
1832,"die buchhandlung, -en","the bookshop, the bookstore"
1833,"die bude, -n","the hut, kiosk, shed; digs (slang)"
1834,"die bühne, -n",the stage (eg. theatre)
1835,"der blitz, -e",the lightning
1836,"die bundesstraße, -n",the interstate road; the a road
1837,"die burg, -en",the fortress; castle; beaver's lodge
1838,die bürohilfe,the office help (no plural)
1839,"die bushaltestelle, -n",the bus stop
1840,"die buslinie, -n",the bus route
1841,die butter,the butter (no plural)
1842,"die cd, -s","the cd, (compact disc)"
1843,"die chefin, -nen",the female boss
1844,die chemie,the chemistry (no plural)
1845,"die chorprobe, -n",the choir practice
1846,"die chronik, -en",the chronicle
1847,die city,"the city, downtown (no plural)"
1848,"die cola, -s",the cola
1849,"der comic, -s",the comic (book)
1850,"die couch, -es",the couch
1851,"die currywurst, -""e",the curry sausage
